name,aliases,type,origin_discipline,one_line_summary,rigor_band,band_notes,confidence,enrichment_status,manifest_version_added
PCAOB Auditing Standards,PCAOB AS,framework,accounting,"Public Company Accounting Oversight Board's auditing standards governing audits of US public companies, established by Sarbanes-Oxley.",regulatory-standard,,high,pending,v4.2
ISA,International Standards on Auditing,framework,accounting,IAASB's international auditing standards used in over 130 jurisdictions globally.,regulatory-standard,,high,pending,v4.2
Yellow Book,Government Auditing Standards; GAGAS,framework,accounting,GAO's Generally Accepted Government Auditing Standards governing audits of US government entities and federal funds.,regulatory-standard,,high,pending,v4.2
Accrual Accounting,,framework,accounting,Recognition principle recording revenues when earned and expenses when incurred regardless of cash timing; the foundation of modern financial reporting.,philosophical-tradition,,high,pending,v4.2
Cash Accounting,Cash Basis,framework,accounting,Recognition principle recording transactions when cash changes hands; permitted for smaller entities and tax purposes in some jurisdictions.,organizing-schema,,high,pending,v4.2
Activity-Based Costing,ABC,framework,accounting,Cooper and Kaplan's cost allocation framework assigning overhead to products based on activities consumed rather than volume-based allocation.,structured-empirical,,high,pending,v4.2
Throughput Accounting,,framework,accounting,"Goldratt's TOC-derived alternative to standard cost accounting prioritizing throughput, inventory, and operating expense over conventional cost allocation.",organizing-schema,,high,pending,v4.2
Lean Accounting,,framework,accounting,"Accounting methodology aligned with lean operations, replacing standard cost variance analysis with value-stream costing and visual management.",organizing-schema,,high,pending,v4.2
Triple-Entry Accounting,Grigg Triple-Entry,framework,accounting,Ian Grigg's cryptographic extension of double-entry bookkeeping using digitally signed receipts as a third record verifiable across parties; foundational to blockchain accounting concepts.,organizing-schema,,high,pending,v4.2
Fund Accounting,,framework,accounting,Accounting framework for nonprofit and governmental entities organizing financial activity around restricted-purpose funds rather than profit-loss tracking.,regulatory-standard,,high,pending,v4.2
Tax Basis Accounting,Income Tax Basis,framework,accounting,"Accounting framework for measuring transactions according to applicable tax law rather than GAAP or IFRS, used for tax filing purposes.",regulatory-standard,,high,pending,v4.2
Statutory Accounting Principles,SAP,framework,accounting,"Accounting framework for US insurance companies established by NAIC, emphasizing solvency over earnings measurement.",regulatory-standard,,high,pending,v4.2
Cost Accounting Standards,CAS,framework,accounting,Accounting standards established by the Cost Accounting Standards Board governing US government contractor cost allocation and measurement.,regulatory-standard,,high,pending,v4.2
Circle of Fifths,Cycle of Fifths,framework,music theory,"Visual and conceptual framework organizing the twelve pitch classes by perfect-fifth relationships, revealing key signatures, modulation paths, and harmonic distance.",organizing-schema,The visual diagram is an organizing schema; the underlying mathematical structure (cyclic group of order twelve under transposition) is rigorously formal.,high,pending,v4.2
Tonal Harmony,Common Practice Tonality,framework,music theory,"Major-minor harmonic system governing Western art music roughly 1600-1900, organized around tonic-dominant relationships and functional progressions.",philosophical-tradition,,high,pending,v4.2
Functional Harmony,Riemannian Function Theory,framework,music theory,"Hugo Riemann's framework analyzing chord progressions through tonic, subdominant, and dominant functions and their substitutions.",philosophical-tradition,,high,pending,v4.2
Roman Numeral Analysis,,framework,music theory,"Analytical framework labeling chords by their scale-degree position relative to a key, foundational to common-practice harmonic analysis.",organizing-schema,,high,pending,v4.2
Figured Bass,Thoroughbass,framework,music theory,"Baroque-era shorthand notation system using numerals beneath a bass line to indicate harmonic realization, foundational to Baroque ensemble practice.",philosophical-tradition,,high,pending,v4.2
Schenkerian Analysis,Schenker Analysis,framework,music theory,Heinrich Schenker's hierarchical reduction analysis revealing background structures (Ursatz) underlying tonal masterworks.,philosophical-tradition,Schenker's writings include culturally chauvinist claims about German musical superiority that are rejected in contemporary scholarship even where the analytical method retains influence.,high,pending,v4.2
Pitch-Class Set Theory,Set Theory (Music); Forte Set Theory,framework,music theory,Allen Forte's framework analyzing atonal music through pitch-class sets characterized by interval-class content and equivalence under transposition and inversion.,formal-scientific,,high,pending,v4.2
Twelve-Tone Technique,Dodecaphony; Serialism,framework,music theory,"Schoenberg's compositional system organizing pitch material around ordered rows containing all twelve pitch classes, manipulated through transposition, inversion, and retrograde.",philosophical-tradition,,high,pending,v4.2
Integral Serialism,Total Serialism,framework,music theory,"Mid-20th-century extension of twelve-tone technique applying serial organization to rhythm, dynamics, and articulation, associated with Boulez and Stockhausen.",philosophical-tradition,,high,pending,v4.2
Neo-Riemannian Theory,NRT,framework,music theory,"Late-20th-century transformational theory analyzing triadic relationships through parsimonious voice-leading operations (P, L, R), associated with Lewin, Hyer, and Cohn.",formal-scientific,,high,pending,v4.2
Just Intonation,JI,framework,music theory,"Tuning framework based on simple integer frequency ratios derived from the harmonic series, producing pure intervals at the cost of key flexibility.",formal-scientific,,high,pending,v4.2
Equal Temperament,12-TET; ET,framework,music theory,"Tuning framework dividing the octave into twelve mathematically equal semitones, optimizing key flexibility at the cost of pure intervals.",formal-scientific,,high,pending,v4.2
Modal System,Church Modes; Ecclesiastical Modes,framework,music theory,Pre-tonal framework organizing pitch material through eight (later twelve) modes characterized by distinctive interval patterns and finals.,philosophical-tradition,,high,pending,v4.2
Sonata Form,First-Movement Form,framework,music theory,"Compositional framework organizing movements into exposition, development, and recapitulation sections with characteristic key relationships, defining the Classical era.",philosophical-tradition,,high,pending,v4.2
Fugue,Fugal Procedure,framework,music theory,"Imitative contrapuntal procedure organized around a subject answered in related voices, formalized through Bach's practice and subsequent theoretical codification.",philosophical-tradition,,high,pending,v4.2
Species Counterpoint,Fuxian Counterpoint,framework,music theory,"Johann Joseph Fux's pedagogical framework for teaching voice-leading through five graduated species, codified in Gradus ad Parnassum (1725).",philosophical-tradition,,high,pending,v4.2
Voice Leading Rules,Part-Writing,framework,music theory,"Body of rules governing the linear connection of voices in tonal harmony, of which species counterpoint is the pedagogical version.",philosophical-tradition,,high,pending,v4.2
Generative Theory of Tonal Music,GTTM,framework,music theory,"Lerdahl and Jackendoff's framework for tonal music cognition explicitly modeled on Chomskyan generative grammar, organized around grouping, metrical, time-span, and prolongational reductions.",structured-empirical,,high,pending,v4.2
Tonal Pitch Space,TPS,framework,music theory,Fred Lerdahl's spatial model of pitch relationships providing quantitative measures of harmonic distance grounded in cognitive empirical work.,structured-empirical,,high,pending,v4.2
Raga System,,framework,music theory,"Indian classical framework organizing melodic material through ragas characterized by ascending and descending scales, characteristic phrases, and affective and time-of-day associations.",philosophical-tradition,,high,pending,v4.2
Tala System,,framework,music theory,Indian classical rhythmic framework organizing time through cyclic patterns (talas) with distinctive accent structures and characteristic divisions.,philosophical-tradition,,high,pending,v4.2
Maqam System,,framework,music theory,"Arabic, Turkish, and Persian framework organizing melodic material through modes (maqamat) with microtonal intervals and characteristic melodic phrases.",philosophical-tradition,,high,pending,v4.2
Pentatonic Theory,Five-Note Scales,framework,music theory,"Framework analyzing five-note scales central to East Asian, Celtic, blues, and many other musical traditions, with both major and minor pentatonic forms.",philosophical-tradition,,high,pending,v4.2
Nashville Number System,NNS,framework,music theory,"Practical chord-progression notation system using scale-degree numbers, developed in Nashville studio practice and widely used in country and pop production.",organizing-schema,,high,pending,v4.2
Berklee Chord-Scale Theory,Chord-Scale System,framework,music theory,"Berklee College of Music's pedagogical framework matching scales to chord types for jazz improvisation, codifying earlier bebop practice.",organizing-schema,,high,pending,v4.2
Blues Form,12-Bar Blues,framework,music theory,Compositional framework characterizing the twelve-bar blues progression with its characteristic harmonic motion and call-and-response phrase structure.,philosophical-tradition,,high,pending,v4.2
