name,aliases,type,origin_discipline,one_line_summary,rigor_band,band_notes,confidence
Iron Triangle,,framework,political science,"Stable policy alliances among legislators, agencies, and interest groups.",organizing-schema,,high
Hegemonic Stability Theory,,framework,political science,International economic openness depends on a dominant state willing to provide public goods.,organizing-schema,,high
Just War Theory,,framework,philosophy,"Conditions under which war is morally justified, divided into jus ad bellum and jus in bello.",philosophical-tradition,Theological roots in Augustine and Aquinas; contemporary scholarship is largely secular philosophical.,high
Two-Level Games,,framework,political science,Putnam's model of international negotiation as simultaneous play at domestic and international tables.,organizing-schema,,high
REST,Representational State Transfer,framework,computer science,Fielding's architectural style for distributed hypermedia systems.,organizing-schema,,high
ACID Properties,,framework,computer science,"Atomicity, Consistency, Isolation, Durability — guarantees for reliable transactions.",formal-scientific,,high
BASE Properties,,framework,computer science,"Basically Available, Soft state, Eventual consistency — pragmatic alternative to ACID.",organizing-schema,,high
CAP Theorem,Brewer's Theorem,framework,computer science,"Distributed system can guarantee at most two of consistency, availability, partition tolerance.",formal-scientific,,high
PACELC Theorem,,framework,computer science,"Extension of CAP: even without partitions, systems trade latency against consistency.",formal-scientific,,high
Domain-Driven Design,DDD,framework,computer science,Evans' approach aligning software model with domain language and bounded contexts.,organizing-schema,,high
Event-Driven Architecture,EDA,framework,computer science,"System organized around production, detection, and reaction to events.",organizing-schema,,high
CQRS,Command Query Responsibility Segregation,framework,computer science,Separates read and write models for scalability and clarity.,organizing-schema,,high
Event Sourcing,,framework,computer science,Persist state as an immutable sequence of events rather than current snapshots.,organizing-schema,,high
Hexagonal Architecture,Ports and Adapters,framework,computer science,Cockburn's design isolating business logic from delivery and infrastructure concerns.,organizing-schema,,high
Onion Architecture,,framework,computer science,Concentric layers with dependencies pointing inward toward the domain core.,organizing-schema,,high
Clean Architecture,,framework,computer science,Martin's synthesis of hexagonal and onion patterns with strict dependency rule.,organizing-schema,,high
Microservices,,framework,computer science,"Architectural style decomposing applications into small, independently deployable services.",organizing-schema,,high
Service-Oriented Architecture,SOA,framework,computer science,Earlier service composition style with heavier orchestration than microservices.,organizing-schema,,high
Twelve-Factor App,,framework,computer science,"Heroku's methodology for building scalable, declarative SaaS applications.",organizing-schema,,high
SOLID Principles,,framework,computer science,"Single responsibility, Open-closed, Liskov substitution, Interface segregation, Dependency inversion.",organizing-schema,,high
DRY,Don't Repeat Yourself,technique,computer science,Hunt and Thomas' principle: every piece of knowledge should have one authoritative representation.,organizing-schema,,high
KISS,"Keep It Simple, Stupid",technique,computer science,Design principle favoring simplicity over unnecessary complexity.,organizing-schema,,high
YAGNI,You Aren't Gonna Need It,technique,computer science,XP principle: don't build functionality until it's actually required.,organizing-schema,,high
The Agile Manifesto,,framework,computer science,2001 declaration of values and principles for adaptive software development.,organizing-schema,,high
Scrum,,framework,computer science,"Iterative agile framework with sprints, roles, and ceremonies.",organizing-schema,,high
Kanban,,framework,management,"Pull-based workflow visualization with WIP limits, originating from Toyota.",organizing-schema,,high
Scrumban,,framework,computer science,Hybrid combining Scrum's structure with Kanban's flow.,organizing-schema,,high
SAFe,Scaled Agile Framework,framework,computer science,Leffingwell's enterprise-scale agile coordination framework.,organizing-schema,,high
LeSS,Large Scale Scrum,framework,computer science,Larman and Vodde's approach to scaling Scrum with minimal added structure.,organizing-schema,,high
Spotify Model,"Squads, Tribes, Chapters, Guilds",framework,computer science,"Organizational pattern from Spotify circa 2012, widely emulated and often misapplied.",organizing-schema,Frequently cited and frequently misapplied; Spotify itself has acknowledged the model wasn't representative even at the time.,high
Extreme Programming,XP,framework,computer science,"Beck's rigorous agile practices including TDD, pair programming, and continuous integration.",organizing-schema,,high
Test-Driven Development,TDD,practice,computer science,"Red-green-refactor cycle: write failing test, make it pass, then improve design.",organizing-schema,,high
Behavior-Driven Development,BDD,practice,computer science,TDD variant using natural-language scenarios to specify behavior.,organizing-schema,,high
DevOps,,framework,computer science,Cultural and technical practices unifying development and operations.,organizing-schema,,high
Site Reliability Engineering,SRE,framework,computer science,Google's approach treating operations as a software problem with SLOs and error budgets.,organizing-schema,,high
CI/CD,Continuous Integration / Continuous Delivery,practice,computer science,Frequent automated integration and deployment of small changes.,organizing-schema,,high
Trunk-Based Development,,practice,computer science,Short-lived branches and frequent merges to a single trunk.,organizing-schema,,high
GitFlow,,framework,computer science,"Driessen's branching model with develop, feature, release, and hotfix branches.",organizing-schema,,high
C4 Model,,framework,computer science,"Brown's hierarchical software architecture diagrams: Context, Container, Component, Code.",organizing-schema,,high
4+1 Architectural Views,,framework,computer science,"Kruchten's logical, process, development, physical, and scenario views of architecture.",organizing-schema,,high
Conway's Law,,framework,computer science,Organizations design systems mirroring their communication structures.,structured-empirical,,high
Brooks' Law,,framework,computer science,Adding manpower to a late software project makes it later.,structured-empirical,,high
No Silver Bullet,,framework,computer science,Brooks' argument that no single innovation will yield order-of-magnitude productivity gains.,organizing-schema,,high
Postel's Law,Robustness Principle,framework,computer science,"Be conservative in what you send, liberal in what you accept.",structured-empirical,,high
Hyrum's Law,Law of Implicit Interfaces,framework,computer science,"With enough users, every observable behavior of an interface becomes someone's dependency.",structured-empirical,,high
The Reactive Manifesto,,framework,computer science,"Principles for systems that are responsive, resilient, elastic, and message-driven.",organizing-schema,,high
Code Review,,practice,computer science,"Peer review of source changes before merge, both for quality and shared understanding.",organizing-schema,,high
Pair Programming,,practice,computer science,"Two programmers work at one workstation, alternating driver and navigator roles.",organizing-schema,,high
Mob Programming,Ensemble Programming,practice,computer science,"Whole team works on the same thing at the same time, in the same space.",organizing-schema,,high
Rubber Duck Debugging,,technique,computer science,Explaining a problem aloud to an inanimate object to surface its solution.,organizing-schema,,high
Refactoring,,practice,computer science,"Disciplined restructuring of code without changing observable behavior, per Fowler.",organizing-schema,,high
The Boy Scout Rule,,technique,computer science,Always leave the code cleaner than you found it.,organizing-schema,,high
Bayesian Inference,,framework,mathematics,"Belief updating via Bayes' rule, applied across statistics, ML, and epistemology.",formal-scientific,,high
Frequentist Statistics,,framework,mathematics,"Inference based on long-run frequencies, including hypothesis testing and confidence intervals.",formal-scientific,,high
Game Theory,,framework,mathematics,Mathematical study of strategic interaction among rational agents.,formal-scientific,,high
Decision Theory,,framework,mathematics,Normative analysis of choice under uncertainty using utility and probability.,formal-scientific,,high
Information Theory,Shannon Theory,framework,mathematics,"Shannon's framework quantifying information, entropy, and communication channels.",formal-scientific,,high
Network Theory,Graph Theory,framework,mathematics,"Study of networks as nodes and edges, applied across many domains.",formal-scientific,,high
Dynamical Systems Theory,,framework,mathematics,Study of systems evolving over time according to deterministic rules.,formal-scientific,,high
Chaos Theory,,framework,mathematics,Sensitive dependence on initial conditions in deterministic nonlinear systems.,formal-scientific,,high
Complexity Theory,Computational Complexity,framework,computer science,"Study of resource requirements (time, space) for solving problems.",formal-scientific,,high
Markov Decision Processes,MDP,framework,mathematics,"Sequential decision framework with states, actions, transition probabilities, and rewards.",formal-scientific,,high
Optimization Theory,,framework,mathematics,Mathematical study of finding extrema of functions subject to constraints.,formal-scientific,,high
Monte Carlo Methods,,technique,mathematics,Estimating quantities through repeated random sampling.,formal-scientific,,high
Linear Programming,LP,framework,mathematics,Optimization of a linear objective subject to linear constraints.,formal-scientific,,high
Bayesian Networks,,framework,mathematics,Directed acyclic graphs encoding probabilistic dependencies among variables.,formal-scientific,,high
Causal Inference,,framework,mathematics,Pearl and Rubin's frameworks for distinguishing correlation from causation.,formal-scientific,,high
Regression Analysis,,framework,mathematics,Statistical modeling of relationships between dependent and independent variables.,formal-scientific,,high
Power Laws,,framework,mathematics,"Distribution form characterized by scale invariance, common in complex systems.",formal-scientific,,high
Scale-Free Networks,,framework,mathematics,Barabási and Albert's network class with power-law degree distributions.,formal-scientific,,high
Small-World Networks,,framework,mathematics,Watts and Strogatz's networks combining high clustering with short path lengths.,formal-scientific,,high
Keynesian Economics,,framework,economics,Macroeconomic framework emphasizing aggregate demand and active fiscal management.,organizing-schema,,high
Monetarism,,framework,economics,Friedman's framework: inflation is everywhere a monetary phenomenon.,organizing-schema,,high
Austrian School,,framework,economics,"Tradition emphasizing methodological individualism, subjective value, and spontaneous order.",organizing-schema,,high
Behavioral Economics,,framework,economics,Integrates psychological insights about human decision-making into economic models.,structured-empirical,,high
Comparative Advantage,,framework,economics,Ricardo's principle: gains from trade arise from relative not absolute productivity differences.,organizing-schema,,high
Mechanism Design,,framework,economics,Reverse game theory: designing rules so self-interested play yields desired outcomes.,organizing-schema,,high
Principal-Agent Problem,,framework,economics,Conflicts of interest and information asymmetry between delegator and delegate.,organizing-schema,,high
Information Asymmetry,Lemons Problem,framework,economics,Akerlof's account of market failures from unequal information distribution.,structured-empirical,,high
Signaling Theory,,framework,economics,Spence's framework: how informed parties credibly communicate quality to uninformed ones.,structured-empirical,,high
Transaction Cost Economics,TCE,framework,economics,Coase and Williamson on why firms exist: transaction costs explain organizational boundaries.,structured-empirical,,high
New Institutional Economics,NIE,framework,economics,"North and others extending economic analysis to institutions, property rights, and history.",structured-empirical,,high
Modern Portfolio Theory,MPT,framework,economics,Markowitz's framework for constructing portfolios optimizing risk-return through diversification.,formal-scientific,,high
Capital Asset Pricing Model,CAPM,framework,economics,Sharpe and Lintner's model relating expected return to systematic risk.,formal-scientific,Mathematically rigorous in form; empirical predictions have been substantially challenged.,high
Efficient Market Hypothesis,EMH,framework,economics,Fama's hypothesis that asset prices fully reflect available information.,organizing-schema,Mathematically rigorous in form; strong forms have been substantially challenged empirically.,high
Solow Growth Model,,framework,economics,"Neoclassical model of long-run growth from capital, labor, and exogenous technical change.",formal-scientific,,high
Endogenous Growth Theory,,framework,economics,"Romer and Lucas: technological progress as outcome of economic activity, not exogenous.",organizing-schema,,high
Path Dependence,,framework,economics,David and Arthur's concept that history matters: small early events shape long-run outcomes.,structured-empirical,,high
Network Effects,,framework,economics,Value of a product or service increasing with the number of users.,structured-empirical,,high
Tragedy of the Commons,,framework,economics,Hardin's account of overexploitation when individuals share access to a common resource.,organizing-schema,,high
Coase Theorem,,framework,economics,"Under low transaction costs, externalities can be efficiently resolved by private bargaining.",formal-scientific,,high
Pigouvian Taxation,,framework,economics,Taxing activities to internalize the social cost of externalities.,organizing-schema,,high
Loss Aversion,,framework,economics,People weight losses roughly twice as heavily as equivalent gains.,structured-empirical,,high
Hyperbolic Discounting,,framework,economics,"Preference for smaller-sooner over larger-later rewards, with declining discount rate over time.",structured-empirical,,high
Mental Accounting,,framework,economics,Thaler's framework: people treat money differently based on its perceived source or category.,structured-empirical,,high
Phillips Curve,,framework,economics,Empirical regularity (and theoretical debate) around inverse relation of unemployment and inflation.,structured-empirical,,high
Economic Complexity Index,ECI,framework,economics,Hausmann and Hidalgo's measure of national productive capability from export structure.,structured-empirical,,high
Two-Sided Markets,Platform Economics,framework,economics,Rochet and Tirole's framework for markets where two distinct user groups create value for each other.,structured-empirical,,high
Theory of Evolution by Natural Selection,Darwinian Evolution,framework,biology,Darwin and Wallace: heritable variation plus differential reproduction yields adaptation over time.,formal-scientific,,high
Modern Synthesis,Neo-Darwinism,framework,biology,Mid-20th-century unification of Mendelian genetics with Darwinian selection.,formal-scientific,,high
Punctuated Equilibrium,,framework,biology,Eldredge and Gould's view of evolution as long stasis interrupted by rapid speciation.,formal-scientific,Specific model within evolutionary theory regarding tempo of change; contrasted with phyletic gradualism.,high
Selfish Gene Theory,,framework,biology,Dawkins' gene-centered view of evolution; organisms as vehicles for replicators.,formal-scientific,,high
Inclusive Fitness,Kin Selection,framework,biology,Hamilton's framework explaining altruism through reproductive success of relatives.,formal-scientific,,high
Evolutionarily Stable Strategies,ESS,framework,biology,Maynard Smith's game-theoretic concept for evolutionary equilibria.,formal-scientific,,high
Central Dogma,,framework,biology,Crick's framework of information flow from DNA to RNA to protein.,formal-scientific,,high
Endosymbiotic Theory,,framework,biology,Margulis' account of mitochondria and chloroplasts as descendants of engulfed bacteria.,formal-scientific,,high
Cell Theory,,framework,biology,"All living organisms composed of cells, which arise only from existing cells.",formal-scientific,,high
Germ Theory,,framework,medicine,"Microorganisms as the cause of many diseases, established by Pasteur and Koch.",formal-scientific,,high
Allostasis,,framework,biology,"Sterling and Eyer's framework of stability through change, refining homeostasis.",organizing-schema,,high
General Adaptation Syndrome,GAS,framework,biology,"Selye's three-stage stress response: alarm, resistance, exhaustion.",organizing-schema,,high
Predator-Prey Dynamics,Lotka-Volterra,framework,biology,Coupled oscillating populations modeled by paired differential equations.,formal-scientific,,high
Island Biogeography,,framework,biology,MacArthur and Wilson's model of species richness as function of area and isolation.,formal-scientific,,high
Niche Construction,,framework,biology,"Organisms actively modify their environments, altering selection pressures on themselves and others.",organizing-schema,,high
Levels of Organization,Biological Hierarchy,framework,biology,"Nested scales from molecules to biosphere, each with distinct emergent properties.",organizing-schema,,high
Systems Biology,,framework,biology,Holistic study of biological systems through computational and mathematical modeling.,organizing-schema,,high
Evidence-Based Medicine,EBM,framework,medicine,"Sackett's integration of best research evidence, clinical expertise, and patient values.",structured-empirical,,high
Biopsychosocial Model,,framework,medicine,"Engel's framework integrating biological, psychological, and social dimensions of health.",structured-empirical,,high
Determinants of Health,Social Determinants of Health,framework,medicine,"Conditions in which people live, work, and age that shape health outcomes.",structured-empirical,,high
Four Pillars of Medical Ethics,Beauchamp and Childress,framework,medicine,"Autonomy, beneficence, non-maleficence, justice as core principles.",doctrinal-institutional,,high
Patient-Centered Care,,framework,medicine,"Care organized around patient preferences, needs, and values.",doctrinal-institutional,,high
SOAP Note,,tool,medicine,"Subjective, Objective, Assessment, Plan — structured clinical documentation.",doctrinal-institutional,,high
Differential Diagnosis,,technique,medicine,Systematic process of distinguishing among possible conditions explaining symptoms.,doctrinal-institutional,,high
Triage,,technique,medicine,"Sorting patients by urgency to allocate scarce care resources, originating in military medicine.",doctrinal-institutional,,high
Epidemiologic Triad,Host-Agent-Environment,framework,medicine,Classical model of infectious disease causation.,doctrinal-institutional,,high
Clinical Reasoning,Hypothetico-Deductive Reasoning,framework,medicine,Generation and testing of diagnostic hypotheses.,doctrinal-institutional,,high
Systems Engineering,,framework,engineering,Interdisciplinary approach to designing and managing complex systems over their lifecycle.,organizing-schema,,high
Design of Experiments,DoE,framework,engineering,Fisher's framework for systematically planning experiments to isolate causal effects.,formal-scientific,,high
Failure Mode and Effects Analysis,FMEA,tool,engineering,Bottom-up identification of potential failure modes and their consequences.,organizing-schema,,high
Fault Tree Analysis,FTA,tool,engineering,Top-down deductive analysis of paths to a specified failure event.,organizing-schema,,high
Reliability Engineering,,framework,engineering,Discipline ensuring system performs intended function over time and conditions.,structured-empirical,,high
V-Model,Verification and Validation Model,framework,engineering,Software development model pairing each design phase with a corresponding test phase.,organizing-schema,,high
Spiral Model,,framework,computer science,Boehm's iterative risk-driven software development model.,organizing-schema,,high
Waterfall Model,,framework,computer science,Sequential development phases with each completed before the next begins.,organizing-schema,,high
Robust Design,Taguchi Methods,framework,engineering,Designing products and processes to be insensitive to variation in inputs.,organizing-schema,,high
Bowtie Analysis,,tool,engineering,Risk visualization linking causes through a top event to consequences with barriers between.,organizing-schema,,high
OODA Loop,Boyd Cycle,framework,military science,"Boyd's decision cycle: Observe, Orient, Decide, Act — faster cycling beats opponent.",doctrinal-institutional,,high
Maneuver Warfare,,framework,military science,"Defeating opponent through tempo, deception, and disruption rather than attrition.",doctrinal-institutional,,high
Mission Command,Auftragstaktik,framework,military science,"Decentralized execution under commander's intent, originating in 19th-century Prussia.",doctrinal-institutional,,high
Strategy of the Indirect Approach,,framework,military science,Liddell Hart: dislocate opponent psychologically before engaging directly.,doctrinal-institutional,,high
Centers of Gravity Analysis,,framework,military science,Clausewitzian identification of the source of an opponent's strength.,doctrinal-institutional,,high
Trinity of War,,framework,military science,"Clausewitz's interaction of passion, chance, and reason in war.",doctrinal-institutional,,high
Three Levels of War,,framework,military science,"Strategic, operational, and tactical levels with distinct logics and time horizons.",doctrinal-institutional,,high
DIME,DIMEFIL,framework,military science,"Diplomatic, Information, Military, Economic instruments of national power.",doctrinal-institutional,,high
PMESII-PT,,framework,military science,"Operational variables: Political, Military, Economic, Social, Information, Infrastructure, Physical, Time.",doctrinal-institutional,,high
Counterinsurgency Doctrine,COIN,framework,military science,Population-centric approach to defeating insurgencies through legitimacy and protection.,doctrinal-institutional,,high
AirLand Battle,,framework,military science,1980s US Army doctrine integrating deep strikes with maneuver warfare.,doctrinal-institutional,,high
Network-Centric Warfare,,framework,military science,Military doctrine emphasizing information networking for shared awareness and self-synchronization.,doctrinal-institutional,,high
Effects-Based Operations,EBO,framework,military science,Targeting based on desired effects rather than physical destruction alone.,doctrinal-institutional,,high
Asymmetric Warfare,,framework,military science,"Conflict between belligerents whose military power, strategy, or tactics differ significantly.",doctrinal-institutional,,high
Eightfold Path,,framework,theology,"Buddhist path: right view, intention, speech, action, livelihood, effort, mindfulness, concentration.",contemplative-tradition,,high
Four Noble Truths,,framework,theology,"Buddhist diagnostic: suffering exists, has cause, can cease, and the path to cessation.",contemplative-tradition,,high
Three Marks of Existence,,framework,theology,"Buddhist characterization of phenomena: impermanence, suffering, non-self.",contemplative-tradition,,high
Five Pillars of Islam,,framework,theology,"Shahada, salat, zakat, sawm, hajj — core practices of Sunni Islam.",contemplative-tradition,,high
Eight Limbs of Yoga,Ashtanga,framework,theology,"Patanjali's yamas, niyamas, asana, pranayama, pratyahara, dharana, dhyana, samadhi.",contemplative-tradition,,high
Yamas and Niyamas,,framework,theology,Yogic ethical restraints (yamas) and observances (niyamas) from Patanjali.,contemplative-tradition,,high
Sefirot,Tree of Life,framework,theology,Kabbalistic ten emanations through which the infinite manifests.,contemplative-tradition,,high
Four Worlds,Olamot,framework,theology,"Kabbalistic levels of reality: Atziluth, Beriah, Yetzirah, Assiah.",contemplative-tradition,,high
Seven Deadly Sins,Capital Vices,framework,theology,"Pride, greed, lust, envy, gluttony, wrath, sloth — Christian schema of root sins.",contemplative-tradition,,high
Cardinal Virtues,,framework,philosophy,"Prudence, justice, fortitude, temperance — classical Greek and Christian schema.",philosophical-tradition,,high
Theological Virtues,,framework,theology,"Faith, hope, and love as graces directing the soul to God in Christian tradition.",contemplative-tradition,,high
Ignatian Discernment,Spiritual Exercises,framework,theology,Loyola's framework for discernment of spirits and consolation/desolation.,contemplative-tradition,,high
Examen,Daily Examen,practice,theology,"Ignatian end-of-day prayerful review of consolations, faults, and gratitude.",contemplative-tradition,,high
Lectio Divina,,practice,theology,"Christian contemplative reading: lectio, meditatio, oratio, contemplatio.",contemplative-tradition,,high
Stoic Dichotomy of Control,,framework,philosophy,Epictetus' division of the world into what is and isn't up to us.,philosophical-tradition,,high
Memento Mori,,technique,philosophy,Stoic and Christian practice of contemplating one's mortality.,philosophical-tradition,,high
Negative Visualization,Premeditatio Malorum,technique,philosophy,Stoic practice of imagining loss to cultivate gratitude and resilience.,philosophical-tradition,,high
Wu Wei,,framework,theology,Taoist principle of effortless action in accord with the flow of things.,contemplative-tradition,,high
Tao Te Ching Framework,,framework,theology,"Lao Tzu's framework of Tao, te, naturalness, and non-contention.",contemplative-tradition,,high
Four Aims of Life,Purusharthas,framework,theology,"Hindu life goals: dharma, artha, kama, moksha.",contemplative-tradition,,high
Four Stages of Life,Ashramas,framework,theology,"Hindu life-stage framework: student, householder, retiree, renunciate.",contemplative-tradition,,high
Karma Framework,,framework,theology,"Action and consequence across Hindu, Buddhist, and Jain traditions.",contemplative-tradition,,high
Tikkun Olam,,framework,theology,Jewish concept of repairing the world through human action.,contemplative-tradition,,high
Beatitudes,,framework,theology,Christ's teachings in the Sermon on the Mount inverting conventional value hierarchies.,contemplative-tradition,,high
Generative Grammar,,framework,linguistics,Chomsky's framework of formal rules generating all grammatical sentences of a language.,formal-scientific,Foundational in modern linguistics; specific universal-grammar claims have been increasingly contested.,high
Universal Grammar,UG,framework,linguistics,Chomsky's hypothesis of innate linguistic structure shared across all human languages.,formal-scientific,Influential but specific innateness claims contested by usage-based and constructionist linguists.,high
Saussurean Structuralism,,framework,linguistics,Saussure's framework of language as system of differences with signified and signifier.,organizing-schema,,high
Semiotics,Semiology,framework,linguistics,"General theory of signs, with Peircean and Saussurean traditions.",organizing-schema,,high
Speech Act Theory,,framework,linguistics,"Austin and Searle's framework: utterances perform actions (locutionary, illocutionary, perlocutionary).",structured-empirical,,high
Cooperative Principle,Gricean Maxims,framework,linguistics,"Grice's maxims of quantity, quality, relation, and manner governing conversational implicature.",structured-empirical,,high
Sapir-Whorf Hypothesis,Linguistic Relativity,framework,linguistics,Language shapes or constrains thought; strong and weak versions debated.,organizing-schema,Strong version is largely rejected; weak version (linguistic influence on thought) has empirical support.,high
Conceptual Metaphor Theory,CMT,framework,linguistics,Lakoff and Johnson: abstract thought structured by metaphorical mappings from embodied experience.,structured-empirical,,high
Frame Semantics,,framework,linguistics,Fillmore's framework: word meaning understood relative to a structured background frame.,structured-empirical,,high
Relevance Theory,,framework,linguistics,Sperber and Wilson's pragmatic framework: communication guided by relevance maximization.,organizing-schema,,high
Construction Grammar,,framework,linguistics,"Approach treating constructions as basic form-meaning pairings, not derived from rules.",organizing-schema,,high
Functional Grammar,Systemic Functional Linguistics,framework,linguistics,Halliday's framework treating grammar as resource for making meaning.,organizing-schema,,high
Optimality Theory,OT,framework,linguistics,Phonological framework where surface forms emerge from ranked violable constraints.,structured-empirical,,high
Cultural Relativism,,framework,anthropology,"Boasian principle: cultures must be understood on their own terms, not judged by external standards.",organizing-schema,,high
Structural Anthropology,,framework,anthropology,Lévi-Strauss' framework analyzing culture through binary oppositions and underlying structures.,organizing-schema,,high
Interpretive Anthropology,Thick Description,framework,anthropology,Geertz's framework treating culture as text to be interpreted through layered description.,organizing-schema,,high
Practice Theory,,framework,anthropology,"Bourdieu, Ortner, and Sahlins on how practices reproduce and transform social structure.",organizing-schema,,high
Liminality,,framework,anthropology,Van Gennep and Turner on threshold states between social positions or identities.,organizing-schema,,high
Rites of Passage,,framework,anthropology,"Van Gennep's three-phase structure: separation, liminal phase, reincorporation.",organizing-schema,,high
Hero's Journey,Monomyth,framework,narrative studies,"Campbell's universal narrative pattern of departure, initiation, and return.",organizing-schema,,high
Cultural Materialism,,framework,anthropology,Harris' framework prioritizing infrastructure (material conditions) in cultural explanation.,organizing-schema,,high
Ethnography,,framework,anthropology,Immersive long-term fieldwork yielding detailed accounts of cultural practices.,structured-empirical,,high
Participant Observation,,technique,anthropology,Researcher takes part in a community while systematically observing and recording.,organizing-schema,,high
Design Thinking,,framework,design,Empathize-define-ideate-prototype-test cycle popularized by Stanford d.school and IDEO.,organizing-schema,,high
Double Diamond,,framework,design,UK Design Council's discover-define-develop-deliver model with diverging and converging phases.,organizing-schema,,high
Human-Centered Design,HCD,framework,design,"Design grounded in deep understanding of user needs, behaviors, and contexts.",organizing-schema,,high
Service Design,,framework,design,"Holistic design of services across touchpoints, channels, and stakeholders.",organizing-schema,,high
Inclusive Design,,framework,design,Designing for the full range of human diversity rather than the average user.,organizing-schema,,high
Universal Design,,framework,design,Mace's framework: design usable by all people without need for adaptation.,organizing-schema,,high
Speculative Design,Critical Design,framework,design,Design used to provoke debate about possible futures rather than to solve problems.,organizing-schema,,high
Cradle to Cradle,C2C,framework,design,McDonough and Braungart's framework for circular materials flow eliminating waste.,organizing-schema,,high
Biomimicry,,framework,design,Benyus' framework drawing design principles from nature's strategies.,organizing-schema,,high
Gestalt Principles,,framework,design,"Perceptual organization principles: proximity, similarity, closure, continuity, figure-ground.",organizing-schema,,high
Nielsen's Ten Heuristics,,framework,design,Nielsen's usability heuristics including visibility of system status and error prevention.,organizing-schema,,high
Atomic Design,,framework,design,"Frost's component hierarchy: atoms, molecules, organisms, templates, pages.",organizing-schema,,high
Don Norman's Design Principles,,framework,design,"Visibility, feedback, constraints, mapping, consistency, affordance.",organizing-schema,,high
Storyboarding,,tool,design,Sequential visual depiction of a user's experience or narrative.,organizing-schema,,high
Wireframing,,tool,design,Low-fidelity visual layout of an interface focusing on structure and content priority.,organizing-schema,,high
Form Follows Function,,framework,design,Sullivan's modernist principle that a building's form should follow its purpose.,organizing-schema,,high
Bloom's Taxonomy,,framework,education,Hierarchy of cognitive learning objectives from remembering through evaluating and creating.,structured-empirical,,high
Revised Bloom's Taxonomy,Anderson and Krathwohl,framework,education,Updated Bloom adding the knowledge dimension and reordering create as the top.,organizing-schema,,high
SOLO Taxonomy,,framework,education,Biggs' Structure of the Observed Learning Outcome from prestructural to extended abstract.,organizing-schema,,high
Webb's Depth of Knowledge,DoK,framework,education,"Four levels of cognitive complexity: recall, skill/concept, strategic thinking, extended thinking.",organizing-schema,,high
ADDIE Model,,framework,education,"Instructional design: Analyze, Design, Develop, Implement, Evaluate.",organizing-schema,,high
Backward Design,Understanding by Design,framework,education,"Wiggins and McTighe: start with desired outcomes, then plan assessment, then instruction.",organizing-schema,,high
Universal Design for Learning,UDL,framework,education,"Multiple means of engagement, representation, and action/expression.",organizing-schema,,high
Differentiated Instruction,,framework,education,"Tomlinson's approach tailoring content, process, product to learner readiness, interest, profile.",organizing-schema,,high
Constructivism (Education),,framework,education,Learning as active construction of meaning rather than passive reception.,organizing-schema,,high
Connectivism,,framework,education,Siemens' learning theory for the digital age emphasizing networks of nodes.,organizing-schema,,high
Andragogy,,framework,education,Knowles' framework distinguishing adult learning from pedagogy of children.,organizing-schema,,high
Experiential Learning,Kolb's Cycle,framework,education,"Learning cycle: concrete experience, reflective observation, abstract conceptualization, active experimentation.",organizing-schema,"Kolb's experiential cycle has more support than the associated learning-styles taxonomy, which has been largely disconfirmed.",high
Multiple Intelligences,MI,framework,education,"Gardner's framework of distinct intelligences: linguistic, logical, spatial, musical, kinesthetic, interpersonal, intrapersonal, naturalistic.",organizing-schema,Gardner's specific dimensional structure has not been supported by mainstream cognitive psychology research.,high
Mastery Learning,,framework,education,Bloom's approach: students must demonstrate mastery before progressing.,structured-empirical,,high
Flipped Classroom,,framework,education,Direct instruction at home; class time used for application and practice.,organizing-schema,,high
Project-Based Learning,PBL,framework,education,Extended student inquiry organized around authentic projects.,organizing-schema,,high
Problem-Based Learning,PBL,framework,education,Learning organized around investigation of complex real-world problems.,organizing-schema,,high
Inquiry-Based Learning,,framework,education,Student-driven exploration with teacher as facilitator rather than transmitter.,organizing-schema,,high
TPACK,Technological Pedagogical Content Knowledge,framework,education,Mishra and Koehler's intersecting domains of teacher expertise.,organizing-schema,,high
SAMR Model,,framework,education,"Puentedura's four levels of technology integration: substitution, augmentation, modification, redefinition.",organizing-schema,,high
Spaced Repetition,,technique,education,Reviewing material at expanding intervals to optimize long-term retention.,structured-empirical,,high
Active Recall,Retrieval Practice,technique,education,Self-testing rather than re-reading to strengthen memory consolidation.,structured-empirical,,high
Feynman Technique,,technique,education,Test understanding by explaining a concept simply enough for a child.,organizing-schema,,high
Cornell Note-Taking,,tool,education,"Note format dividing the page into cues, notes, and summary sections.",organizing-schema,,high
Concept Mapping,,tool,education,Novak's visual representation of relationships among concepts.,organizing-schema,,high
Strict Scrutiny,,framework,law,US constitutional standard requiring narrow tailoring to a compelling government interest.,doctrinal-institutional,,high
Intermediate Scrutiny,,framework,law,Constitutional review requiring substantial relation to important governmental interest.,doctrinal-institutional,,high
Rational Basis Review,,framework,law,Lowest US constitutional standard: law must be rationally related to a legitimate interest.,doctrinal-institutional,,high
Proportionality Test,,framework,law,Multi-stage review used in many jurisdictions to assess rights infringements.,doctrinal-institutional,,high
Reasonable Person Standard,,framework,law,Hypothetical ordinarily prudent person used as a benchmark for negligence.,doctrinal-institutional,,high
Hand Formula,Learned Hand Test,framework,law,Negligence test: liable if burden of precaution is less than probability times loss.,doctrinal-institutional,,high
Reasonable Doubt Standard,,framework,law,"Highest evidentiary standard, required for criminal conviction in common law systems.",doctrinal-institutional,,high
