name,aliases,type,origin_discipline,one_line_summary,rigor_band,band_notes,confidence,enrichment_status,manifest_version_added
Reflective Equilibrium,,framework,philosophy,Iterative adjustment between principles and considered judgments until coherence is reached.,philosophical-tradition,,high,enriched,v4
Foundationalism,,framework,philosophy,Knowledge structure resting on basic non-inferentially justified beliefs.,philosophical-tradition,,high,enriched,v4
Coherentism,,framework,philosophy,"Knowledge justified by mutual support among beliefs, with no privileged foundation.",philosophical-tradition,,high,enriched,v4
Reliabilism,,framework,philosophy,Knowledge as belief produced by reliable cognitive processes.,philosophical-tradition,,high,enriched,v4
Occam's Razor,Principle of Parsimony,technique,philosophy,"Among competing hypotheses, prefer the one with fewest assumptions.",philosophical-tradition,,high,enriched,v4
Hanlon's Razor,,technique,philosophy,Never attribute to malice that which is adequately explained by stupidity.,philosophical-tradition,,high,enriched,v4
Sturgeon's Law,,technique,philosophy,Ninety percent of everything is crud — used to push past surface dismissal.,philosophical-tradition,,high,enriched,v4
Steelmanning,,technique,philosophy,Construct the strongest possible version of an opposing argument before engaging it.,philosophical-tradition,,high,enriched,v4
First Principles Thinking,,technique,philosophy,Decomposing a problem to its foundational truths and reasoning upward.,philosophical-tradition,,high,enriched,v4
Principle of Charity,Charitable Interpretation,technique,philosophy,Interpret others' arguments in their strongest plausible form.,philosophical-tradition,,high,enriched,v4
Trolley Problem,,technique,philosophy,Foot and Thomson's thought experiment probing intuitions about killing vs letting die.,philosophical-tradition,,high,enriched,v4
Ship of Theseus,,technique,philosophy,Thought experiment about identity through gradual replacement of parts.,philosophical-tradition,,high,enriched,v4
Veil of Ignorance Method,,technique,philosophy,Reasoning device for fairness by stripping knowledge of one's own position.,philosophical-tradition,,high,enriched,v4
Separation of Powers,,framework,political science,"Montesquieu's division of state authority among legislative, executive, and judicial branches.",organizing-schema,,high,enriched,v4
Federalism,,framework,political science,Sovereignty divided constitutionally between national and subnational governments.,organizing-schema,,high,enriched,v4
Public Choice Theory,,framework,political science,Buchanan and Tullock applying economic methods to political behavior.,organizing-schema,,high,enriched,v4
Median Voter Theorem,,framework,political science,"Under single-peaked preferences and majority rule, the median voter's preference wins.",formal-scientific,,high,enriched,v4
Arrow's Impossibility Theorem,,framework,political science,No rank-order voting system can satisfy a small set of fairness criteria simultaneously.,formal-scientific,,high,enriched,v4
Realism (IR),Political Realism,framework,political science,International relations driven by states pursuing power in an anarchic system.,organizing-schema,,high,enriched,v4
Liberalism (IR),,framework,political science,"International relations shaped by institutions, interdependence, and democratic norms.",organizing-schema,,high,enriched,v4
Constructivism (IR),,framework,political science,International behavior shaped by socially constructed identities and norms.,organizing-schema,,high,enriched,v4
Democratic Peace Theory,,framework,political science,Empirical regularity that mature democracies rarely fight one another.,organizing-schema,,high,enriched,v4
Soft Power,,framework,political science,Nye's concept of influence through attraction and persuasion rather than coercion.,organizing-schema,,high,enriched,v4
Smart Power,,framework,political science,Combining hard and soft power instruments contextually.,organizing-schema,,high,enriched,v4
Overton Window,,framework,political science,The range of policy ideas considered politically acceptable at a given time.,organizing-schema,,high,enriched,v4
Spiral of Silence,,framework,political science,Noelle-Neumann's account of opinion suppression when people perceive themselves in a minority.,organizing-schema,,high,enriched,v4
Agenda-Setting Theory,,framework,political science,Media doesn't tell us what to think but powerfully shapes what to think about.,organizing-schema,,high,enriched,v4
Iron Triangle,,framework,political science,"Stable policy alliances among legislators, agencies, and interest groups.",organizing-schema,,high,enriched,v4
Hegemonic Stability Theory,,framework,political science,International economic openness depends on a dominant state willing to provide public goods.,organizing-schema,,high,enriched,v4
Just War Theory,,framework,philosophy,"Conditions under which war is morally justified, divided into jus ad bellum and jus in bello.",philosophical-tradition,Theological roots in Augustine and Aquinas; contemporary scholarship is largely secular philosophical.,high,enriched,v4
Two-Level Games,,framework,political science,Putnam's model of international negotiation as simultaneous play at domestic and international tables.,organizing-schema,,high,enriched,v4
REST,Representational State Transfer,framework,computer science,Fielding's architectural style for distributed hypermedia systems.,organizing-schema,,high,enriched,v4
ACID Properties,,framework,computer science,"Atomicity, Consistency, Isolation, Durability — guarantees for reliable transactions.",formal-scientific,,high,enriched,v4
BASE Properties,,framework,computer science,"Basically Available, Soft state, Eventual consistency — pragmatic alternative to ACID.",organizing-schema,,high,enriched,v4
CAP Theorem,Brewer's Theorem,framework,computer science,"Distributed system can guarantee at most two of consistency, availability, partition tolerance.",formal-scientific,,high,enriched,v4
PACELC Theorem,,framework,computer science,"Extension of CAP: even without partitions, systems trade latency against consistency.",formal-scientific,,high,enriched,v4
Domain-Driven Design,DDD,framework,computer science,Evans' approach aligning software model with domain language and bounded contexts.,organizing-schema,,high,enriched,v4
Event-Driven Architecture,EDA,framework,computer science,"System organized around production, detection, and reaction to events.",organizing-schema,,high,enriched,v4
CQRS,Command Query Responsibility Segregation,framework,computer science,Separates read and write models for scalability and clarity.,organizing-schema,,high,enriched,v4
Event Sourcing,,framework,computer science,Persist state as an immutable sequence of events rather than current snapshots.,organizing-schema,,high,enriched,v4
Hexagonal Architecture,Ports and Adapters,framework,computer science,Cockburn's design isolating business logic from delivery and infrastructure concerns.,organizing-schema,,high,enriched,v4
Onion Architecture,,framework,computer science,Concentric layers with dependencies pointing inward toward the domain core.,organizing-schema,,high,enriched,v4
Clean Architecture,,framework,computer science,Martin's synthesis of hexagonal and onion patterns with strict dependency rule.,organizing-schema,,high,enriched,v4
Microservices,,framework,computer science,"Architectural style decomposing applications into small, independently deployable services.",organizing-schema,,high,enriched,v4
Service-Oriented Architecture,SOA,framework,computer science,Earlier service composition style with heavier orchestration than microservices.,organizing-schema,,high,enriched,v4
Twelve-Factor App,,framework,computer science,"Heroku's methodology for building scalable, declarative SaaS applications.",organizing-schema,,high,enriched,v4
SOLID Principles,,framework,computer science,"Single responsibility, Open-closed, Liskov substitution, Interface segregation, Dependency inversion.",organizing-schema,,high,enriched,v4
DRY,Don't Repeat Yourself,technique,computer science,Hunt and Thomas' principle: every piece of knowledge should have one authoritative representation.,organizing-schema,,high,enriched,v4
KISS,"Keep It Simple, Stupid",technique,computer science,Design principle favoring simplicity over unnecessary complexity.,organizing-schema,,high,enriched,v4
YAGNI,You Aren't Gonna Need It,technique,computer science,XP principle: don't build functionality until it's actually required.,organizing-schema,,high,enriched,v4
The Agile Manifesto,,framework,computer science,2001 declaration of values and principles for adaptive software development.,organizing-schema,,high,enriched,v4
Scrum,,framework,computer science,"Iterative agile framework with sprints, roles, and ceremonies.",organizing-schema,,high,enriched,v4
Kanban,,framework,management,"Pull-based workflow visualization with WIP limits, originating from Toyota.",organizing-schema,,high,enriched,v4
Scrumban,,framework,computer science,Hybrid combining Scrum's structure with Kanban's flow.,organizing-schema,,high,enriched,v4
SAFe,Scaled Agile Framework,framework,computer science,Leffingwell's enterprise-scale agile coordination framework.,organizing-schema,,high,enriched,v4
LeSS,Large Scale Scrum,framework,computer science,Larman and Vodde's approach to scaling Scrum with minimal added structure.,organizing-schema,,high,enriched,v4
Spotify Model,"Squads, Tribes, Chapters, Guilds",framework,computer science,"Organizational pattern from Spotify circa 2012, widely emulated and often misapplied.",organizing-schema,Frequently cited and frequently misapplied; Spotify itself has acknowledged the model wasn't representative even at the time.,high,enriched,v4
Extreme Programming,XP,framework,computer science,"Beck's rigorous agile practices including TDD, pair programming, and continuous integration.",organizing-schema,,high,enriched,v4
Test-Driven Development,TDD,practice,computer science,"Red-green-refactor cycle: write failing test, make it pass, then improve design.",organizing-schema,,high,enriched,v4
Behavior-Driven Development,BDD,practice,computer science,TDD variant using natural-language scenarios to specify behavior.,organizing-schema,,high,enriched,v4
DevOps,,framework,computer science,Cultural and technical practices unifying development and operations.,organizing-schema,,high,enriched,v4
Site Reliability Engineering,SRE,framework,computer science,Google's approach treating operations as a software problem with SLOs and error budgets.,organizing-schema,,high,enriched,v4
CI/CD,Continuous Integration / Continuous Delivery,practice,computer science,Frequent automated integration and deployment of small changes.,organizing-schema,,high,enriched,v4
Trunk-Based Development,,practice,computer science,Short-lived branches and frequent merges to a single trunk.,organizing-schema,,high,enriched,v4
GitFlow,,framework,computer science,"Driessen's branching model with develop, feature, release, and hotfix branches.",organizing-schema,,high,enriched,v4
C4 Model,,framework,computer science,"Brown's hierarchical software architecture diagrams: Context, Container, Component, Code.",organizing-schema,,high,enriched,v4
4+1 Architectural Views,,framework,computer science,"Kruchten's logical, process, development, physical, and scenario views of architecture.",organizing-schema,,high,enriched,v4
Conway's Law,,framework,computer science,Organizations design systems mirroring their communication structures.,structured-empirical,,high,enriched,v4
Brooks' Law,,framework,computer science,Adding manpower to a late software project makes it later.,structured-empirical,,high,enriched,v4
No Silver Bullet,,framework,computer science,Brooks' argument that no single innovation will yield order-of-magnitude productivity gains.,organizing-schema,,high,enriched,v4
Postel's Law,Robustness Principle,framework,computer science,"Be conservative in what you send, liberal in what you accept.",structured-empirical,,high,enriched,v4
Hyrum's Law,Law of Implicit Interfaces,framework,computer science,"With enough users, every observable behavior of an interface becomes someone's dependency.",structured-empirical,,high,enriched,v4
The Reactive Manifesto,,framework,computer science,"Principles for systems that are responsive, resilient, elastic, and message-driven.",organizing-schema,,high,enriched,v4
Code Review,,practice,computer science,"Peer review of source changes before merge, both for quality and shared understanding.",organizing-schema,,high,enriched,v4
Pair Programming,,practice,computer science,"Two programmers work at one workstation, alternating driver and navigator roles.",organizing-schema,,high,enriched,v4
Mob Programming,Ensemble Programming,practice,computer science,"Whole team works on the same thing at the same time, in the same space.",organizing-schema,,high,enriched,v4
Rubber Duck Debugging,,technique,computer science,Explaining a problem aloud to an inanimate object to surface its solution.,organizing-schema,,high,enriched,v4
Refactoring,,practice,computer science,"Disciplined restructuring of code without changing observable behavior, per Fowler.",organizing-schema,,high,enriched,v4
The Boy Scout Rule,,technique,computer science,Always leave the code cleaner than you found it.,organizing-schema,,high,enriched,v4
Bayesian Inference,,framework,mathematics,"Belief updating via Bayes' rule, applied across statistics, ML, and epistemology.",formal-scientific,,high,enriched,v4
Frequentist Statistics,,framework,mathematics,"Inference based on long-run frequencies, including hypothesis testing and confidence intervals.",formal-scientific,,high,enriched,v4
Game Theory,,framework,mathematics,Mathematical study of strategic interaction among rational agents.,formal-scientific,,high,enriched,v4
Decision Theory,,framework,mathematics,Normative analysis of choice under uncertainty using utility and probability.,formal-scientific,,high,enriched,v4
Information Theory,Shannon Theory,framework,mathematics,"Shannon's framework quantifying information, entropy, and communication channels.",formal-scientific,,high,enriched,v4
Network Theory,Graph Theory,framework,mathematics,"Study of networks as nodes and edges, applied across many domains.",formal-scientific,,high,enriched,v4
Dynamical Systems Theory,,framework,mathematics,Study of systems evolving over time according to deterministic rules.,formal-scientific,,high,enriched,v4
Chaos Theory,,framework,mathematics,Sensitive dependence on initial conditions in deterministic nonlinear systems.,formal-scientific,,high,enriched,v4
Complexity Theory,Computational Complexity,framework,computer science,"Study of resource requirements (time, space) for solving problems.",formal-scientific,,high,enriched,v4
Markov Decision Processes,MDP,framework,mathematics,"Sequential decision framework with states, actions, transition probabilities, and rewards.",formal-scientific,,high,enriched,v4
Optimization Theory,,framework,mathematics,Mathematical study of finding extrema of functions subject to constraints.,formal-scientific,,high,enriched,v4
Monte Carlo Methods,,technique,mathematics,Estimating quantities through repeated random sampling.,formal-scientific,,high,enriched,v4
Linear Programming,LP,framework,mathematics,Optimization of a linear objective subject to linear constraints.,formal-scientific,,high,enriched,v4
Bayesian Networks,,framework,mathematics,Directed acyclic graphs encoding probabilistic dependencies among variables.,formal-scientific,,high,enriched,v4
Causal Inference,,framework,mathematics,Pearl and Rubin's frameworks for distinguishing correlation from causation.,formal-scientific,,high,enriched,v4
Regression Analysis,,framework,mathematics,Statistical modeling of relationships between dependent and independent variables.,formal-scientific,,high,enriched,v4
Power Laws,,framework,mathematics,"Distribution form characterized by scale invariance, common in complex systems.",formal-scientific,,high,enriched,v4
Scale-Free Networks,,framework,mathematics,Barabási and Albert's network class with power-law degree distributions.,formal-scientific,,high,enriched,v4
Small-World Networks,,framework,mathematics,Watts and Strogatz's networks combining high clustering with short path lengths.,formal-scientific,,high,enriched,v4
Keynesian Economics,,framework,economics,Macroeconomic framework emphasizing aggregate demand and active fiscal management.,organizing-schema,,high,enriched,v4
Monetarism,,framework,economics,Friedman's framework: inflation is everywhere a monetary phenomenon.,organizing-schema,,high,enriched,v4
Austrian School,,framework,economics,"Tradition emphasizing methodological individualism, subjective value, and spontaneous order.",organizing-schema,,high,enriched,v4
Behavioral Economics,,framework,economics,Integrates psychological insights about human decision-making into economic models.,structured-empirical,,high,enriched,v4
Comparative Advantage,,framework,economics,Ricardo's principle: gains from trade arise from relative not absolute productivity differences.,organizing-schema,,high,enriched,v4
Mechanism Design,,framework,economics,Reverse game theory: designing rules so self-interested play yields desired outcomes.,organizing-schema,,high,enriched,v4
Principal-Agent Problem,,framework,economics,Conflicts of interest and information asymmetry between delegator and delegate.,organizing-schema,,high,enriched,v4
Information Asymmetry,Lemons Problem,framework,economics,Akerlof's account of market failures from unequal information distribution.,structured-empirical,,high,enriched,v4
Signaling Theory,,framework,economics,Spence's framework: how informed parties credibly communicate quality to uninformed ones.,structured-empirical,,high,enriched,v4
Transaction Cost Economics,TCE,framework,economics,Coase and Williamson on why firms exist: transaction costs explain organizational boundaries.,structured-empirical,,high,enriched,v4
New Institutional Economics,NIE,framework,economics,"North and others extending economic analysis to institutions, property rights, and history.",structured-empirical,,high,enriched,v4
Modern Portfolio Theory,MPT,framework,economics,Markowitz's framework for constructing portfolios optimizing risk-return through diversification.,formal-scientific,,high,enriched,v4
Capital Asset Pricing Model,CAPM,framework,economics,Sharpe and Lintner's model relating expected return to systematic risk.,formal-scientific,Mathematically rigorous in form; empirical predictions have been substantially challenged.,high,enriched,v4
Efficient Market Hypothesis,EMH,framework,economics,Fama's hypothesis that asset prices fully reflect available information.,organizing-schema,Mathematically rigorous in form; strong forms have been substantially challenged empirically.,high,enriched,v4
Solow Growth Model,,framework,economics,"Neoclassical model of long-run growth from capital, labor, and exogenous technical change.",formal-scientific,,high,enriched,v4
Endogenous Growth Theory,,framework,economics,"Romer and Lucas: technological progress as outcome of economic activity, not exogenous.",organizing-schema,,high,enriched,v4
Path Dependence,,framework,economics,David and Arthur's concept that history matters: small early events shape long-run outcomes.,structured-empirical,,high,enriched,v4
Network Effects,,framework,economics,Value of a product or service increasing with the number of users.,structured-empirical,,high,enriched,v4
Tragedy of the Commons,,framework,economics,Hardin's account of overexploitation when individuals share access to a common resource.,organizing-schema,,high,enriched,v4
Coase Theorem,,framework,economics,"Under low transaction costs, externalities can be efficiently resolved by private bargaining.",formal-scientific,,high,enriched,v4
Pigouvian Taxation,,framework,economics,Taxing activities to internalize the social cost of externalities.,organizing-schema,,high,enriched,v4
Loss Aversion,,framework,economics,People weight losses roughly twice as heavily as equivalent gains.,structured-empirical,,high,enriched,v4
Hyperbolic Discounting,,framework,economics,"Preference for smaller-sooner over larger-later rewards, with declining discount rate over time.",structured-empirical,,high,enriched,v4
Mental Accounting,,framework,economics,Thaler's framework: people treat money differently based on its perceived source or category.,structured-empirical,,high,enriched,v4
Phillips Curve,,framework,economics,Empirical regularity (and theoretical debate) around inverse relation of unemployment and inflation.,structured-empirical,,high,enriched,v4
Economic Complexity Index,ECI,framework,economics,Hausmann and Hidalgo's measure of national productive capability from export structure.,structured-empirical,,high,enriched,v4
Two-Sided Markets,Platform Economics,framework,economics,Rochet and Tirole's framework for markets where two distinct user groups create value for each other.,structured-empirical,,high,enriched,v4
Theory of Evolution by Natural Selection,Darwinian Evolution,framework,biology,Darwin and Wallace: heritable variation plus differential reproduction yields adaptation over time.,formal-scientific,,high,enriched,v4
Modern Synthesis,Neo-Darwinism,framework,biology,Mid-20th-century unification of Mendelian genetics with Darwinian selection.,formal-scientific,,high,enriched,v4
Punctuated Equilibrium,,framework,biology,Eldredge and Gould's view of evolution as long stasis interrupted by rapid speciation.,formal-scientific,Specific model within evolutionary theory regarding tempo of change; contrasted with phyletic gradualism.,high,enriched,v4
Selfish Gene Theory,,framework,biology,Dawkins' gene-centered view of evolution; organisms as vehicles for replicators.,formal-scientific,,high,enriched,v4
Inclusive Fitness,Kin Selection,framework,biology,Hamilton's framework explaining altruism through reproductive success of relatives.,formal-scientific,,high,enriched,v4
Evolutionarily Stable Strategies,ESS,framework,biology,Maynard Smith's game-theoretic concept for evolutionary equilibria.,formal-scientific,,high,enriched,v4
Central Dogma,,framework,biology,Crick's framework of information flow from DNA to RNA to protein.,formal-scientific,,high,enriched,v4
Endosymbiotic Theory,,framework,biology,Margulis' account of mitochondria and chloroplasts as descendants of engulfed bacteria.,formal-scientific,,high,enriched,v4
Cell Theory,,framework,biology,"All living organisms composed of cells, which arise only from existing cells.",formal-scientific,,high,enriched,v4
Germ Theory,,framework,medicine,"Microorganisms as the cause of many diseases, established by Pasteur and Koch.",formal-scientific,,high,enriched,v4
Allostasis,,framework,biology,"Sterling and Eyer's framework of stability through change, refining homeostasis.",organizing-schema,,high,enriched,v4
General Adaptation Syndrome,GAS,framework,biology,"Selye's three-stage stress response: alarm, resistance, exhaustion.",organizing-schema,,high,enriched,v4
Predator-Prey Dynamics,Lotka-Volterra,framework,biology,Coupled oscillating populations modeled by paired differential equations.,formal-scientific,,high,enriched,v4
Island Biogeography,,framework,biology,MacArthur and Wilson's model of species richness as function of area and isolation.,formal-scientific,,high,enriched,v4
Niche Construction,,framework,biology,"Organisms actively modify their environments, altering selection pressures on themselves and others.",organizing-schema,,high,enriched,v4
Levels of Organization,Biological Hierarchy,framework,biology,"Nested scales from molecules to biosphere, each with distinct emergent properties.",organizing-schema,,high,enriched,v4
Systems Biology,,framework,biology,Holistic study of biological systems through computational and mathematical modeling.,organizing-schema,,high,enriched,v4
Evidence-Based Medicine,EBM,framework,medicine,"Sackett's integration of best research evidence, clinical expertise, and patient values.",structured-empirical,,high,enriched,v4
Biopsychosocial Model,,framework,medicine,"Engel's framework integrating biological, psychological, and social dimensions of health.",structured-empirical,,high,enriched,v4
Determinants of Health,Social Determinants of Health,framework,medicine,"Conditions in which people live, work, and age that shape health outcomes.",structured-empirical,,high,enriched,v4
Four Pillars of Medical Ethics,Beauchamp and Childress,framework,medicine,"Autonomy, beneficence, non-maleficence, justice as core principles.",doctrinal-institutional,,high,enriched,v4
Patient-Centered Care,,framework,medicine,"Care organized around patient preferences, needs, and values.",doctrinal-institutional,,high,enriched,v4
SOAP Note,,tool,medicine,"Subjective, Objective, Assessment, Plan — structured clinical documentation.",doctrinal-institutional,,high,enriched,v4
Differential Diagnosis,,technique,medicine,Systematic process of distinguishing among possible conditions explaining symptoms.,doctrinal-institutional,,high,enriched,v4
Triage,,technique,medicine,"Sorting patients by urgency to allocate scarce care resources, originating in military medicine.",doctrinal-institutional,,high,enriched,v4
Epidemiologic Triad,Host-Agent-Environment,framework,medicine,Classical model of infectious disease causation.,doctrinal-institutional,,high,enriched,v4
Clinical Reasoning,Hypothetico-Deductive Reasoning,framework,medicine,Generation and testing of diagnostic hypotheses.,doctrinal-institutional,,high,enriched,v4
Systems Engineering,,framework,engineering,Interdisciplinary approach to designing and managing complex systems over their lifecycle.,organizing-schema,,high,enriched,v4
Design of Experiments,DoE,framework,engineering,Fisher's framework for systematically planning experiments to isolate causal effects.,formal-scientific,,high,enriched,v4
Failure Mode and Effects Analysis,FMEA,tool,engineering,Bottom-up identification of potential failure modes and their consequences.,organizing-schema,,high,enriched,v4
Fault Tree Analysis,FTA,tool,engineering,Top-down deductive analysis of paths to a specified failure event.,organizing-schema,,high,enriched,v4
Reliability Engineering,,framework,engineering,Discipline ensuring system performs intended function over time and conditions.,structured-empirical,,high,enriched,v4
V-Model,Verification and Validation Model,framework,engineering,Software development model pairing each design phase with a corresponding test phase.,organizing-schema,,high,enriched,v4
Spiral Model,,framework,computer science,Boehm's iterative risk-driven software development model.,organizing-schema,,high,enriched,v4
Waterfall Model,,framework,computer science,Sequential development phases with each completed before the next begins.,organizing-schema,,high,enriched,v4
Robust Design,Taguchi Methods,framework,engineering,Designing products and processes to be insensitive to variation in inputs.,organizing-schema,,high,enriched,v4
Bowtie Analysis,,tool,engineering,Risk visualization linking causes through a top event to consequences with barriers between.,organizing-schema,,high,enriched,v4
OODA Loop,Boyd Cycle,framework,military science,"Boyd's decision cycle: Observe, Orient, Decide, Act — faster cycling beats opponent.",doctrinal-institutional,,high,enriched,v4
Maneuver Warfare,,framework,military science,"Defeating opponent through tempo, deception, and disruption rather than attrition.",doctrinal-institutional,,high,enriched,v4
Mission Command,Auftragstaktik,framework,military science,"Decentralized execution under commander's intent, originating in 19th-century Prussia.",doctrinal-institutional,,high,enriched,v4
Strategy of the Indirect Approach,,framework,military science,Liddell Hart: dislocate opponent psychologically before engaging directly.,doctrinal-institutional,,high,enriched,v4
Centers of Gravity Analysis,,framework,military science,Clausewitzian identification of the source of an opponent's strength.,doctrinal-institutional,,high,enriched,v4
Trinity of War,,framework,military science,"Clausewitz's interaction of passion, chance, and reason in war.",doctrinal-institutional,,high,enriched,v4
Three Levels of War,,framework,military science,"Strategic, operational, and tactical levels with distinct logics and time horizons.",doctrinal-institutional,,high,enriched,v4
DIME,DIMEFIL,framework,military science,"Diplomatic, Information, Military, Economic instruments of national power.",doctrinal-institutional,,high,enriched,v4
PMESII-PT,,framework,military science,"Operational variables: Political, Military, Economic, Social, Information, Infrastructure, Physical, Time.",doctrinal-institutional,,high,enriched,v4
Counterinsurgency Doctrine,COIN,framework,military science,Population-centric approach to defeating insurgencies through legitimacy and protection.,doctrinal-institutional,,high,enriched,v4
AirLand Battle,,framework,military science,1980s US Army doctrine integrating deep strikes with maneuver warfare.,doctrinal-institutional,,high,enriched,v4
Network-Centric Warfare,,framework,military science,Military doctrine emphasizing information networking for shared awareness and self-synchronization.,doctrinal-institutional,,high,enriched,v4
Effects-Based Operations,EBO,framework,military science,Targeting based on desired effects rather than physical destruction alone.,doctrinal-institutional,,high,enriched,v4
Asymmetric Warfare,,framework,military science,"Conflict between belligerents whose military power, strategy, or tactics differ significantly.",doctrinal-institutional,,high,enriched,v4
Eightfold Path,,framework,theology,"Buddhist path: right view, intention, speech, action, livelihood, effort, mindfulness, concentration.",contemplative-tradition,,high,enriched,v4
Four Noble Truths,,framework,theology,"Buddhist diagnostic: suffering exists, has cause, can cease, and the path to cessation.",contemplative-tradition,,high,enriched,v4
Three Marks of Existence,,framework,theology,"Buddhist characterization of phenomena: impermanence, suffering, non-self.",contemplative-tradition,,high,enriched,v4
Five Pillars of Islam,,framework,theology,"Shahada, salat, zakat, sawm, hajj — core practices of Sunni Islam.",contemplative-tradition,,high,enriched,v4
Eight Limbs of Yoga,Ashtanga,framework,theology,"Patanjali's yamas, niyamas, asana, pranayama, pratyahara, dharana, dhyana, samadhi.",contemplative-tradition,,high,enriched,v4
Yamas and Niyamas,,framework,theology,Yogic ethical restraints (yamas) and observances (niyamas) from Patanjali.,contemplative-tradition,,high,enriched,v4
Sefirot,Tree of Life,framework,theology,Kabbalistic ten emanations through which the infinite manifests.,contemplative-tradition,,high,enriched,v4
Four Worlds,Olamot,framework,theology,"Kabbalistic levels of reality: Atziluth, Beriah, Yetzirah, Assiah.",contemplative-tradition,,high,enriched,v4
Seven Deadly Sins,Capital Vices,framework,theology,"Pride, greed, lust, envy, gluttony, wrath, sloth — Christian schema of root sins.",contemplative-tradition,,high,enriched,v4
Cardinal Virtues,,framework,philosophy,"Prudence, justice, fortitude, temperance — classical Greek and Christian schema.",philosophical-tradition,,high,enriched,v4
Theological Virtues,,framework,theology,"Faith, hope, and love as graces directing the soul to God in Christian tradition.",contemplative-tradition,,high,enriched,v4
Ignatian Discernment,Spiritual Exercises,framework,theology,Loyola's framework for discernment of spirits and consolation/desolation.,contemplative-tradition,,high,enriched,v4
Examen,Daily Examen,practice,theology,"Ignatian end-of-day prayerful review of consolations, faults, and gratitude.",contemplative-tradition,,high,enriched,v4
Lectio Divina,,practice,theology,"Christian contemplative reading: lectio, meditatio, oratio, contemplatio.",contemplative-tradition,,high,enriched,v4
Stoic Dichotomy of Control,,framework,philosophy,Epictetus' division of the world into what is and isn't up to us.,philosophical-tradition,,high,enriched,v4
Memento Mori,,technique,philosophy,Stoic and Christian practice of contemplating one's mortality.,philosophical-tradition,,high,enriched,v4
Negative Visualization,Premeditatio Malorum,technique,philosophy,Stoic practice of imagining loss to cultivate gratitude and resilience.,philosophical-tradition,,high,enriched,v4
Wu Wei,,framework,theology,Taoist principle of effortless action in accord with the flow of things.,contemplative-tradition,,high,enriched,v4
Tao Te Ching Framework,,framework,theology,"Lao Tzu's framework of Tao, te, naturalness, and non-contention.",contemplative-tradition,,high,enriched,v4
Four Aims of Life,Purusharthas,framework,theology,"Hindu life goals: dharma, artha, kama, moksha.",contemplative-tradition,,high,enriched,v4
Four Stages of Life,Ashramas,framework,theology,"Hindu life-stage framework: student, householder, retiree, renunciate.",contemplative-tradition,,high,enriched,v4
Karma Framework,,framework,theology,"Action and consequence across Hindu, Buddhist, and Jain traditions.",contemplative-tradition,,high,enriched,v4
Tikkun Olam,,framework,theology,Jewish concept of repairing the world through human action.,contemplative-tradition,,high,enriched,v4
Beatitudes,,framework,theology,Christ's teachings in the Sermon on the Mount inverting conventional value hierarchies.,contemplative-tradition,,high,enriched,v4
Generative Grammar,,framework,linguistics,Chomsky's framework of formal rules generating all grammatical sentences of a language.,formal-scientific,Foundational in modern linguistics; specific universal-grammar claims have been increasingly contested.,high,enriched,v4
Universal Grammar,UG,framework,linguistics,Chomsky's hypothesis of innate linguistic structure shared across all human languages.,formal-scientific,Influential but specific innateness claims contested by usage-based and constructionist linguists.,high,enriched,v4
Saussurean Structuralism,,framework,linguistics,Saussure's framework of language as system of differences with signified and signifier.,organizing-schema,,high,enriched,v4
Semiotics,Semiology,framework,linguistics,"General theory of signs, with Peircean and Saussurean traditions.",organizing-schema,,high,enriched,v4
Speech Act Theory,,framework,linguistics,"Austin and Searle's framework: utterances perform actions (locutionary, illocutionary, perlocutionary).",structured-empirical,,high,enriched,v4
Cooperative Principle,Gricean Maxims,framework,linguistics,"Grice's maxims of quantity, quality, relation, and manner governing conversational implicature.",structured-empirical,,high,enriched,v4
Sapir-Whorf Hypothesis,Linguistic Relativity,framework,linguistics,Language shapes or constrains thought; strong and weak versions debated.,organizing-schema,Strong version is largely rejected; weak version (linguistic influence on thought) has empirical support.,high,enriched,v4
Conceptual Metaphor Theory,CMT,framework,linguistics,Lakoff and Johnson: abstract thought structured by metaphorical mappings from embodied experience.,structured-empirical,,high,enriched,v4
Frame Semantics,,framework,linguistics,Fillmore's framework: word meaning understood relative to a structured background frame.,structured-empirical,,high,enriched,v4
Relevance Theory,,framework,linguistics,Sperber and Wilson's pragmatic framework: communication guided by relevance maximization.,organizing-schema,,high,enriched,v4
Construction Grammar,,framework,linguistics,"Approach treating constructions as basic form-meaning pairings, not derived from rules.",organizing-schema,,high,enriched,v4
Functional Grammar,Systemic Functional Linguistics,framework,linguistics,Halliday's framework treating grammar as resource for making meaning.,organizing-schema,,high,enriched,v4
Optimality Theory,OT,framework,linguistics,Phonological framework where surface forms emerge from ranked violable constraints.,structured-empirical,,high,enriched,v4
Cultural Relativism,,framework,anthropology,"Boasian principle: cultures must be understood on their own terms, not judged by external standards.",organizing-schema,,high,enriched,v4
Structural Anthropology,,framework,anthropology,Lévi-Strauss' framework analyzing culture through binary oppositions and underlying structures.,organizing-schema,,high,enriched,v4
Interpretive Anthropology,Thick Description,framework,anthropology,Geertz's framework treating culture as text to be interpreted through layered description.,organizing-schema,,high,enriched,v4
Practice Theory,,framework,anthropology,"Bourdieu, Ortner, and Sahlins on how practices reproduce and transform social structure.",organizing-schema,,high,enriched,v4
